WRC152M	WRC152MF	WRC154M	WRC154MF	WRC156M	WRC156MF	WRC158M	WRC158MF	WRC15AVRP2M	WRC15AVRP2MF	WRC15AVRP4M	WRC15AVRP4MF	WRC15AVRP6M	WRC15AVRP6MF	WRC15AVRP8M	WRC15AVRP8MF	WRC15AVRS2M	WRC15AVRS2MF	WRC15AVRS4M	WRC15AVRS4MF	WRC15AVRS6M	WRC15AVRS6MF	WRC15AVRS8M	WRC15AVRS8MF	WRC15ECRP2M	WRC15ECRP2MF	WRC15ECRP4M	WRC15ECRP4MF	WRC15ECRP6M	WRC15ECRP6MF	WRC15ECRP8M	WRC15ECRP8MF	WRC15ECRS2M	WRC15ECRS2MF	WRC15ECRS4M	WRC15ECRS4MF	WRC15ECRS6M	WRC15ECRS6MF	WRC15ECRS8M	WRC15ECRS8MF
WRC15AVRP8M	0.488675157896878	0.541842930773886	0.570636537893902	0.479444214456981	0.436077854239633	0.406168946683723	0.565500424239399	0.444634145105807	0.387168847749761	0.525498613046152	0.262189375115737	0.637043437691997	0.460688920014378	0.573541152692565	0	0.518511114940548	0.535400421515359	0.468505261650798	0.334818253394486	0.720636158538284	0.318804376391828	0.400435539286902	0.220330442623386	0.392814562547419	0.57059247018625	0.497163909269947	0.349901845308206	0.574171899398651	0.864204168682904	0.32629861552865	0.209406954068408	0.473479784894733	0.339841950369697	0.524809886660008	0.303505650339496	0.420061164924358	0.303918956425201	0.424554079251346	0.374008614102552	0.464953234300086
WRC15AVRP8MF	0.3954806551706	0.456237712693561	0.427935914790312	0.425049664736555	0.391907802264488	0.391108983094545	0.41734434642734	0.441362102947581	0.413488548389609	0.368181724867073	0.488668787373251	0.519816980285497	0.446517287849227	0.236723684039891	0.518511114940548	0	0.405187817856932	0.661919433459027	0.513288678110524	0.510938885010315	0.474156830566601	0.340892099486188	0.594095738854201	0.366214201924519	0.363010517120652	0.386153209276966	0.553116187253243	0.426779565340107	0.73154970407054	0.56783850551187	0.451420980369127	0.556407428384058	0.569437077735142	0.535236159424893	0.450251123696088	0.392481421589113	0.481823564239195	0.384926260747887	0.437369472095611	0.460019391118868
WRC15AVRS2M	0.276367051179554	0.560278282621016	0.44110857714985	0.556745778552621	0.446433950266073	0.537417146818005	0.457595383314819	0.58396301548144	0.273008533261851	0.485547252019965	0.453212856773688	0.601180852465299	0.482159718138114	0.416218290888673	0.535400421515359	0.405187817856932	0	0.693828297234635	0.422364505012531	0.506371103622578	0.461082653625801	0.438937242327073	0.588962759627438	0.476543997298679	0.255355284901157	0.445590155673438	0.541915447286888	0.549373246710386	0.705892634498188	0.608722841623785	0.473352243999006	0.662807781550036	0.549405806471476	0.611747760794623	0.380445558256214	0.464937880833805	0.455768825331605	0.449703764425224	0.381266778706594	0.552555858890558
WRC15AVRS2MF	0.660436484203201	0.527080684355505	0.744104534900919	0.521035560231666	0.666528684714128	0.517058535700988	0.752807614891176	0.503799504766988	0.588198689080513	0.536545158742831	0.530815407605102	0.609874047339676	0.606753686804513	0.689876830514247	0.468505261650798	0.661919433459027	0.693828297234635	0	0.564070251034585	0.786059264158994	0.526977511333221	0.522441074029114	0.455929972842375	0.491905007994057	0.728613955155734	0.549570166190978	0.46987271179996	0.623833452979182	0.918479826501938	0.301461128543386	0.524857570167424	0.422831413057873	0.483408273630179	0.430508702146585	0.557185519157502	0.501949840207219	0.560710396578692	0.512334778188045	0.612047089966417	0.507225620180071
WRC15AVRS4M	0.446725177193471	0.584383805427851	0.548194963133199	0.56005424388887	0.452474315418935	0.510379698917753	0.562076966311026	0.561321295989034	0.335288816058992	0.536320128597002	0.20292388368028	0.635243110923399	0.442228657014478	0.533298659887522	0.334818253394486	0.513288678110524	0.422364505012531	0.564070251034585	0	0.652066060294545	0.267686199645861	0.403111209685437	0.337047646856118	0.40625662587821	0.482140302838343	0.490450300293683	0.392076661684373	0.579903523618345	0.807855225216267	0.438948817994033	0.298873377254418	0.567509180132153	0.383521503059554	0.555924598300454	0.181522105909696	0.400379157387127	0.259567936603847	0.407506353275611	0.320381467878085	0.458172919959788
WRC15AVRS4MF	0.573521186376623	0.562948757971725	0.615554655597179	0.609863424822817	0.659202202969333	0.636646718240646	0.622550558841751	0.686865858124556	0.604835982414609	0.496163830400923	0.668889536109912	0.457324732882609	0.588150388342841	0.423448562737774	0.720636158538284	0.510938885010315	0.506371103622578	0.786059264158994	0.652066060294545	0	0.658810156124256	0.566103873342291	0.760122836982213	0.598688866540023	0.515026752172428	0.517183349764212	0.704702043283466	0.526333673122664	0.640840066755895	0.741565434706996	0.678735858668384	0.743069906048051	0.729633166771833	0.652075102269151	0.625630705178846	0.58644157534511	0.657604323208404	0.57331734137415	0.584890610756609	0.671026979148118
WRC15AVRS6M	0.462580320539787	0.543668061944824	0.535095851115931	0.512735103344632	0.404689972665803	0.427312524153136	0.545748408970293	0.487794687804037	0.396509654148101	0.489952250177512	0.308988509760561	0.579031374324035	0.32376768577699	0.507698719170764	0.318804376391828	0.474156830566601	0.461082653625801	0.526977511333221	0.267686199645861	0.658810156124256	0	0.310207795716124	0.34462059258111	0.298306233289611	0.513192563179575	0.466440499300341	0.336675915102179	0.500340060768256	0.825278440149283	0.399560702875399	0.305578773386291	0.505453472794091	0.376963958318828	0.487999008767686	0.2158360397911	0.321908996408024	0.22502314852418	0.316982400454629	0.299919442662569	0.43080030985616
WRC15AVRS6MF	0.427399683455917	0.423242281464059	0.506232528526378	0.399382354202708	0.418669553304129	0.330056101760818	0.511317637546107	0.379899117356328	0.402671384193464	0.362595531855131	0.41927856280622	0.496369572198237	0.383963357066586	0.355983244993962	0.400435539286902	0.340892099486188	0.438937242327073	0.522441074029114	0.403111209685437	0.566103873342291	0.310207795716124	0	0.463560844727703	0.210617976904902	0.472452508912893	0.361403973181233	0.430605830118307	0.406155615629486	0.805365045407831	0.41837944563464	0.374148302110146	0.4553788779905	0.450423571117685	0.405992432369927	0.328071580674781	0.258087379707926	0.362025208014307	0.22348730172721	0.344286153871743	0.388497010336971
WRC15AVRS8M	0.562088974854932	0.612047920493395	0.640923778570915	0.570520334222686	0.52478620926572	0.493391821349273	0.642352882167802	0.53374816510797	0.460283382216625	0.595971756379172	0.324590000124905	0.68332939587763	0.518031461619814	0.639507701638889	0.220330442623386	0.594095738854201	0.588962759627438	0.455929972842375	0.337047646856118	0.760122836982213	0.34462059258111	0.463560844727703	0	0.447642202872328	0.629193508929299	0.572677128651336	0.4023550830243	0.632406829187826	0.886686894780688	0.355652362553281	0.311139401966079	0.529465412089899	0.286485766941849	0.561593688876692	0.34844892946767	0.473862822302749	0.345020236011575	0.475944845173426	0.430068693596487	0.470669992193896
WRC15AVRS8MF	0.474598301227659	0.432320992173286	0.556870721438377	0.430750916430323	0.458458209444385	0.371805765615619	0.556584219980655	0.397396358281379	0.425231484225876	0.394042899895022	0.404629061822471	0.487797489366117	0.384634962748153	0.423421996552849	0.392814562547419	0.366214201924519	0.476543997298679	0.491905007994057	0.40625662587821	0.598688866540023	0.298306233289611	0.210617976904902	0.447642202872328	0	0.508630165763671	0.381727459095656	0.393917379579691	0.40168688288622	0.821447345365341	0.382993520992716	0.368625856094744	0.419667708970039	0.442462368007189	0.399722632854291	0.346490938561171	0.216667379435202	0.357524889864874	0.228844076341376	0.341328305700791	0.372682203469704
